season,episode,speaker,role,utterance_count
1,1,ABBY,instructor,50
1,1,ANNOUNCER,announcer,3
1,1,CATHY,coach,6
1,1,CHLOE,dancer,2
1,1,CHRISTI,mom,13
1,1,DAWN,,2
1,1,HOLLY,mom,6
1,1,KELLY,mom,14
1,1,KIDS,,1
1,1,MADDIE,dancer,2
1,1,MELISSA,mom,10
1,1,OFFICER,,1
1,1,SINGER,announcer,9
1,1,WOMAN,other,3
1,2,ABBY,instructor,39
1,2,ALL,,3
1,2,ANNOUNCER,announcer,7
1,2,CATHY,coach,9
1,2,CHLOE,dancer,5
1,2,CHRISTI,mom,25
1,2,HOLLY,mom,12
1,2,KELLY,mom,7
1,2,MADDIE,dancer,7
1,2,MELISSA,mom,14
1,2,SINGER,announcer,13
1,2,VIVI-ANNE,dancer,2
1,2,WOMAN,other,1
1,3,ABBY,instructor,26
1,3,ANNOUNCER,announcer,9
1,3,BROOKE,dancer,8
1,3,CATHY,coach,18
1,3,CHRISTI,mom,9
1,3,DR. VITALE,,4
1,3,GIRL,,1
1,3,HOLLY,mom,5
1,3,KELLY,mom,25
1,3,MELISSA,mom,9
1,3,RITA,,1
1,3,SINGER,announcer,4
1,3,VIVI-ANNE,dancer,3
1,4,ABBY,instructor,30
1,4,ANNOUNCER,announcer,11
1,4,BROOKE,dancer,1
1,4,CATHY,coach,8
1,4,CHRISTI,mom,11
1,4,DANCE INSTRUCTOR,,1
1,4,DANCER,,1
1,4,GIRL,,1
1,4,HOLLY,mom,3
1,4,KELLY,mom,11
1,4,MACKENZIE,dancer,3
1,4,MADDIE,dancer,4
1,4,MELISSA,mom,12
1,4,NIA,dancer,3
1,4,PAIGE,dancer,3
1,4,SINGER,announcer,17
1,4,VIVI-ANNE,dancer,2
1,4,WOMAN,other,3
1,5,ABBY,instructor,37
1,5,BROOKE,dancer,5
1,5,CATHY,coach,14
1,5,CESAR,,8
1,5,CHLOE,dancer,1
1,5,CHRISTI,mom,20
1,5,GIANNA,assistant,6
1,5,HOLLY,mom,3
1,5,KELLY,mom,13
1,5,MADDIE,dancer,1
1,5,MELISSA,mom,14
1,5,NIA,dancer,2
1,5,PAIGE,dancer,1
1,5,SINGER,announcer,8
1,5,VIVI-ANNE,dancer,1
1,6,ABBY,instructor,21
1,6,ANNOUNCER,announcer,9
1,6,AUNT JACKIE,,3
1,6,BROOKE,dancer,3
1,6,CASTING AGENT,,1
1,6,CATHY,coach,19
1,6,CHLOE,dancer,4
1,6,CHRISTI,mom,23
1,6,DOCTOR,,4
1,6,HOLLY,mom,11
1,6,KELLY,mom,16
1,6,MADDIE,dancer,3
1,6,MAN,,6
1,6,MELISSA,mom,8
1,6,MOM,,2
1,6,PAIGE,dancer,1
1,6,SINGER,announcer,10
1,7,ABBY,instructor,24
1,7,ANNOUNCER,announcer,6
1,7,CATHY,coach,10
1,7,CHILDREN,,2
1,7,CHRISTI,mom,4
1,7,GIRL,,1
1,7,HOLLY,mom,13
1,7,JUDGE,,1
